Sentiment,Tweet
0,Is catching up on the last er 
1,"@EmilyHJ @JoelJost Ah, have a lovely time. I'd be jealous, but I'm not sure it's not a sin.  Someday, New England, someday..."
1,Thank Miquel!    Good morning Cuz! @LezMirandaPOW
0,haha but she said it in a mean way then told me to wash dishes 
0,"Huge YAY for Sveta, but what an awful ending to the match  Poor Dina "
1,@stewpatty i know! so you're still sticking to this ship right bb? 
1,@omarabid Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
1,spending the day with brie  http://myloc.me/2PBO
1,here we go again 
0,"Good morning New Mexico, I'm very sorry to be leaving your bed "
1,"Hey everyone  Bit of a hectic day for me, just back from the vets, @pradasmith has a bad infection &amp; is staying over the wkend "
1,....sleepy sunday! but music makes it better! 
1,"Eat, Pray, Love @TawnyHeath Good title? What's it about? "
1,@spiralsofgrace The point is that you did it. That's what counts! Keep up the good work 
0,it is still not easy to listen to the good miss apple. 
1,@divasasha5. Ohhh coool!!! Not sure gona post pics next week on my website 
0,down in the dumps today 
0,So tired and hungry  Making my mood very bad
1,Morning all - T I S W A S - 
1,i'm definitely goin @victoriahawkins I'ma be back in NC that week just for the cruise &amp; my BDAY yay 
1,@jeyowenji it was alright. I give it a 3.5 out of 5. Haha. But would like to read the book now. 
0,&quot;Well...at least you knt get any worse...&quot;  MÃ? PÃ«T  Damn 
0,I love that the first thing I step barefoot on when I walk into my house is puppy poop..so disgusting..oh and the house smells like it 
1,is looking forward to her very own dougie coming round 
0,leaving on tuesday.. 
1,"Full as anything, good lunch tho "
1,sims 3 comes out next friday!! 
0,@worldofnokia Haven't we all? 
0,@KarlaWraight Haha I was like... I'll just use it once... and then I used it loads  lol. Ahh not good! Hope it stops crashing soon lol!
0,@hellcatrecords  I didn't get my pre-ordered rancid cd yet 
0,@samueltwitt1 what about australia?  we'd love for you to come here!
1,"went shopping, got tons of stuff, had a blast, really cold, oh yeah.... 2 DAYZ til DIAC!! "
0,"Morning.early dog walk,then down to paint Mam's bathroom  Not looking forward to it but you gotta help the oldies out ...."
1,@abhinavsonkar looking forward to it 
1,@liz_azyan Good luck with the flat hunting and the review! Hope both have positive outcomes 
0,@EddieMalone yeah sucks eh! 
0,im soo pissed cause of this stupid ass who keeps nagging me :| i cant sleep  but i`ll try to. ugggh. bye again
1,@Schofe Great Yarmouth is where it's at! Gotta try some of those chips on the market 
0,"I feel like an old glove today.   I need a long bout of sleep, I think."
1,I'm going to punch the next goddamn person who calls me skinny in the face...then vlog about it. 
1,Wishing a Happy Mothers Day to all the wonderful Mothers out there. 
1,Just bought a ....variety of body parts at Walmart  I say a good night!
0,@kjmercer ha yes you do! gonna try a massage first. in lots of pain. 
0,2DAY IS A NEW DAY PEOPLE.. GOT ALOT TO DO &amp; NOT LETTIN MY BAD MOOD GET IN MY WAY... SUCKS WHEN FUCKED UP SHIT HAPPENS 
1,Epsom Derby day! Â£5 e/w on Golden Sword ridden by O'Donaghue. Come on the ootsider! 
0,eczema is going to be the death of me 
0,"I haz a wet spot on my bed. But not a warm yummy one, this one is cold  stupid leaking water."
1,@sethsimonds  Re: chocolate thing
0,@highheelznkickz I have no clue  I wish I had a skirt or a dress.
0,@ShaunStenning D'oh. Waiting on webvision to fix up the affiliate reporting problem too so we can get motivated 2 sell more YOTA! 
0,getting ready for my prom but i feel ill 
0,Heading to CPT today. rain forecast  need a #muffin to cheer this day up
1,Okay the low budget movie is over...headed to bed now have church in the am...goodnite all 
0,is having second thoughts....... 
0,"My dad is the only one who has sympathy for my loss of another bird,I just cant take it,and now tweety is alone "
1,"@warrenellis  No doubt about that! I believe a neologism is due to describe such power, what about your EnglishawesomenessNESS?"
1,@Serendipi Make sure you take enough for medication when you get food poisoning 
0,@animallounge thank you for the best wishes. sorry just saw the message 
1,"@achernin oh, that sounds SO fun. wish i could have been there! "
0,@Imagin_that Irish language is almost dead I'm afraid 
1,"@Big_Jim hey m8, thx for the #ff. hows it going?? hope you have a great weekend "
0,"@VForIvan aww, I hope you can get that dental work done soon, that's gotta suck!! "
0,ugh i wanna be in dallas 2night! its going to be ahmazing an dim not there 
0,Loll whats boyfriend #2 supposed to mean then? @cathyweeeen its to cold 
1,"Was just on the last coaster of the night, started a 'one more time' chant.  Pulled into the station and they ran it again "
1,@StartupPro Thank you for sharing! I enjoyed reading your post today 
1,@bnairb57 Heard it was Kyle Busch's PR people looking 
0,Wow had a great weekend! I'm sooooooo tired now!! Time to go nite nite 
1,@AuthenticStyle Sounds good! Have a great time with it! Gonna pour another hot coffee... 
1,@girlwithnoname I am doing well.  Just gettin my backyard pool &amp; hottub in shape today. Our @GBTweetUp is this weekend. Fun abounds!
1,2 am and i am going to bed! damn you yoville! lol.......hope tomorrow is nice. gotta lot to do outside! 
1,@michilalala sure it's here www.purevolume.com/WindyCityFilmClub 
0,"doesn't approve of mother natures weather choice, should make a good nap later though, if I can get in my room "
1,@samjmoody you can tweet while ironing  it'll be quiteeeee easy. i think.
1,I am going to Decibel Outdoor Festival  August 15th
0,@THEORACLE2 there you go that is what she said lol but yeah im done cause i sure used it alot 
0,Still at home and sick   Should I go to work? Have to 
1,@froggie775 Glad you did too 
0,"been on a tweet break the last few days but i'm back now...taming the beast most call hair, ugh! "
1,Just joined a twibe. Visit http://twibes.com/newmedia to join #followfriday @MetaKong -Because I once got robbed in Amsterdam  ! #MetaKong
0,@ joel. Didnt see them 
1,"@Madsoli @ItsJustDi Hi ladies! What's all this talk of pants, ass and pockets? "
1,happy birthday daddy!  i love you!
0,"@yohanik yes, i'm clueless too.   who is bal thackeray? (ducking shoes)"
1,@Soph4Soph have a fab time! 
1,I LOVE THE MOVIE TAKEN ITS SO KICK ASPIRIN LITERALLY.  XD =] 
1,@ddlovato whoaa. i never knew what a.m. and p.m. stants for either. thanks for letting us know! 
1,@DontCopyMySwag he just reply to you ! lol  i know . if trey or Q could respond to us we would be soo good !
1,My Ultimate #FollowFriday http://bit.ly/fiIkp [Updated today]. My fav: 25 SEO Gurus &amp; 85 Comedians 
1,Feeling nice and highhhhh. 
0,**correction** my 1st day to sleep in @FevEligante 
0,Must learning now   for the french test next week!!!Nnnnoooo
1,"@looobaa http://twitpic.com/6rdt0 - hmmm, maybee the flame is re-igniting "
0,Iv got more bloody drama coursework it never ends and its hot and sunny outside but im stuck inside  
0,@MarcelKr Und beim Office hatte ich was von CHF gelesen 
1,"@Blargal if that is what it is, it MUST be turned on, because so far my car hasn't been stolen, &amp; I keep the switch toggled away from me "
1,@simplebits I may need to purchase just to see Ellsbury catch a ball while holding a baby. 
1,"Excited for tomorrow night, going to see the Hannah Montana movie. "
1,"My thug ass BFF w her Rihanna looking bruise on her face from last night, lalala in @BaBzBeZe's car  http://mypict.me/290k"
1,@nicoletait09 Hello Nicoley-oley-oley 
1,@iamamro its like winter all over again *makes hot chocolate* 
1,"Good morning, all! Have a great Sunday! "
1,"@TheresaCisneros I'm a pretty big Yankee fan, so we got something in common, both our teams are doing very well "
1,oh sunday napps 
1,In modesto playing a show 
1,Nite twitter world....early morning 2moro! Barrel Race wish us luck!  (btw barrel race is rodeo sport 4 all those city folk who didnt no)
0,eep! running late! no time to make the pink hair look pretty 
1,@SelvinOrtiz cool .. looking forward to it 
0,Not looking forward to 9am-4pm class tomorrow! And missing Drew 
1,@pdurham I am brilliant thanks  how are you?
1,@blwhan cool.. just lemme know when.. oh ... pls sms instead la.. i will arrange all this .. 
1,@dglive Awesome! 
0,Going to the dentist this am-I have 2 teeny cavities.  I don't even remember the last time I had cavities. Am NOT looking forward to it!
1,@OnePeaceBooks I'm sure the people of Sakaiminato would be thrilled to have Gegege no Kitaro published in English  http://tr.im/n2m6
0,@tmgj24 OMG thinking the same thing.. Have to wait till next season! 
0,"wakey wakey people, early to rise and off to work now "
1,@MandinaM Yeah! That was the last one.. There was one before that as well  well found!
1,7 more weeks. 35 more days of actual school. 175 hours of lessons. And them I'm done with Year 10 
0,"@KTF2009 It's Father's Day.   And I KNOW that I won't get anythin from my boys. They're too you to do it themselves, and their moms won't."
1,Still chatting  yeaah
1,On lunch. I'm gonna eat like I've never eaten before. Then feel bad about it!  yay!
1,"So, nap accomplished, lesson plan for presentation also nearly done... Time to write! "
1,"If I were so inclined to worship, it would probably be someone like: http://is.gd/AYQY "
1,@samsungfootball  You're having a laugh! Chelsea ain't gonna score tomorrow. We'll shut you out!! 
1,someone saw me do something illegal. 
0,@elecons yum! my pantry is empty 
1,vicky gurero should be shot and tortured - nothing personal 
1,Liepaja here I am.Just for couple of hours.And I already miss Riga  Damn!
1,@Lady_Twitster i don't know - it is either les Mis or War Horse - surprise present lol 
1,@THICKDECADENCE u can get all the details abt me here http://bit.ly/ogZmf Hope this helps..have a gr8 day 
1,"finally updated my pic, lol, its NEW, woot, and stuff, gettin ready to back to hosp now, its almost visiting time "
1,"@vaclav_pech congrats, I started my 3rd week now "
0,"@Kecia08 Naps always sound like a great idea, but they rarely are - such a shame I love them "
0,"argh! facebook is being annoying! or is it the internet connection? &amp; boo, love is cutting his hair. i'll miss that hair of his "
1,@dexterstat iam iam 
0,"Watching Young Guns II - very underrated IMHO, very nostalgic - time to take one last hike in the West tonight "
1,shower and then subway 
0,"Night, world. It's already 3AM now. Just finished my studies. I don't know why i do so even after my exam had ended "
0,@OriginalShevy OOOOPS SORRY!! 
0,@melbrehl here there nowhere you know. my web is all out of wack  so i am phoning this in ):
0,@Goughlarrr I still can't believe you told me about GEORGE!!! I'm a good few series behind you 
1,are sunning themselves in deckchairs with cold beers! 
1,@miaakoch good luck in the concert 
0,@mirandabuzz susan boyle was amazing i cant believe what happened to her though  miranda you so have good taste haha
0,"@percussionpanda YEAH! i love them all. wish they'd come here though..  &amp; yes, definitely the best band EVER! B) im carmela, bytheway. ;)"
1,"@batutes Next week!!! Thanks darlin. And just tell me, I definitely will. "
0,@MadisenHill Hope you had an amazing show!!!!!!! Im so sad i wasn't able to come 
0,"@heich_dee Man,I miss that kind of coldness.No oily face!Lol.N my body clock had to adapt to sch time. When I'm awake,hes aslp.vice versa "
1,Bouncing on the trampoline   http://twitpic.com/6cc6j
1,"@JessexVanity Ooo, me too! I haven't read the book, but it looks/sounds like such a great movie "
0,I screwed up big time 
0,@Djennings22 I've been feelin like that all month 
0,I'm awake at 8:18 am and I m not liking it! I purposely went 2sleep at 11 and I wake up now? I sleep later wen I go to bed at 8! 
1,"@_Vexen That's good, not the pain part, but that's good anyways.  I'm alright too..."
0,bye twitter! haha.. i'm so bored.. 
1,"@JordanSykes, Eugh im on this &quot;faggy thing &quot; haha Your guy is a queer "
1,"@Rosiecosy I know what you mean, &amp; then you have to spend ages unfollowing loads of people :/ my twitter is pretty clean right now though "
1,yay! it's raining again 
0,I made it to the advanced rainbow!...poor Tiphanie 
1,"@perksofbeingme i'm sorry, hope you feel better in the mornin.  i'm watchin sweeny todd again "
0,was told via text there were brownies on the stove but all I see is an empty pan that HAD brownies in it...they were mint ones too!  
1,@DaynaHart I think so. Well-dressed guy gets them all.  #preens
0,"I don't have MTV,@mtschopp. What am I going to DO?!! fmlllll "
0,"@mandism I'm so sorry your tour was cancelled! I feel horrible that I am lucky enough to go to so many shows, and y'all cant even get one "
0,"Bored, lonely, depressed, headachey, low energy today.  Gonna be hard to keep myself from quiting my workout early - again. "
1,@maliciousmandy1 exaxtly what I said as if they'd try and get it away from her then 
1,@3prettyprincess which one are you 
0,"@Hawon I 'used to' love TweetDeck, but there were too many glitches, so I deleted "
1,@kaseykatherine ha ha yes yes that is what it is 
1,"@tomiwk Thank you, you are one of my &quot;oldest&quot; friends on twitter, and I value you greatly! "
1,Larrain Berry - When I was little I wanted to be a mermaid. Me - I STILL want to be a mermaid. Fun day by the pool! Now for some meatloaf 
0,"@samueltwitt1 http://twitpic.com/4j2ra We made you the number 2 trending topic, then Twitter decided to hate on you. Sad "
0,R.I.P KILLASEAN YOU'LL FOREVER BE MISSED...I LOVE YOU BABY 
1,&quot;The old saying is true:'Breaking up is hard to do.' But breaking down is easy to do...&quot; i will not break down. I will stand confident 
1,@drchuck you could have watched cambridge utd v torquay battle it out for promotion to the football league. at wembley. torquay won 
0,is home sweet home for the night... 
1,@alliegirl97 yep lol heard that once from a gal haha seen waldo lately? 
0,@ynnie36 @peeks i often fly to Boston for memorial day weekend too. hubby has work travel no babysitting coverage 
0,interview in t minus 5. Yikes 
1,@lia_joyce i commented something on your album post. please comment back because i'm really confused. thank you 
0,"Well. ... I most definitely have a broken heart. No use pining but damn it, why do good things have to go bad "
1,juice diet... ur havin a bubble i dont care if i get fat i luv myself sum foooood  big is beautiful baby!!
0,hears @NKOTB!!! ahh i miss them 
1,ice cream can mend just about any problem. just use proper utensils. 
0,@unprotectedtext Ohhh... sorry to hear that 
0,Sitting in the airport waiting for are next flight still have anothe hour this freakin sucks !!!!!! I just want a be to sleep 
1,watching bridewars.  love this mocie! its hilarious!
1,@citylivinggirl Thank you 
0,"is up, gng get ready n haf macs breakfast with awai &amp; shikin. IM SLEEEEPPYY. "
0,@supermom_2 That show is so much fun you have to go Cathy!  He was really cool!  No Daughtry sightings!! 
0,Did you not mean to me? oh......... 
0,@BuBudz619 hi Luv!!!  u shuda said u were goin to da beach i wuda went with u 
0,Too sick to go to the gym 
0,its raning..  not fun
1,@lancearmstrong I'm not sure....will you do it &amp; tell us what happens? 
1,home for mother's day. 
1,awesome day 
1,@AngelaKeen Sounds awesome!  My day is just beginning 
1,- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge 
0,yum I really want Oporto now 
0,Driving home  the cape was soo much fun. Can't wait to go back. Now back to the real world......
0,@whisperygenie I know  I'm on disc 4 of the X Files already...it's not as bad as I initially thought it would be.
0,"@mergyeugnau Glad you like it. But yeah, YouTube uploads are notorious for messing up the sync "
0,"gotta be proactive now- visit opticians at 9, then hunt for father's day prezzie with mum. Already had 2 busy days, what's one more? "
0,"dam.. i've got big news, idk how to break it to my friends :/ ..al tie it to homing pigeons and release them  .. but am afraid of birds "
0,"@chiropractic it does, doesn't it, i totally want to go again, but not sure I can "
1,is watching The Fugitive w/ my nana &amp; papa and eating a well deserved drumstick! What? My doctor said eat lots of dairy cuz of the meds! 
1,"Watching vid, 4 year old drummer and great bannddd  http://bit.ly/G6eVE"
0,@its_sb you won't even notice I'm gone!  x
0,@nikifer  all the folks i play l4d with on the xbox no longer wants to play with me!! cause i ONLY use the 'mercy' map only on easy! lol
0,Omg y dis old man jus said &quot;u look like jennifer lopez&quot; u pretty girl.. How bout I don't wana look like her 
0,Ahhhh I just hit a squirrel   
1,@laffit www.tinyurl.com/o3vlyc  and yesssss were fans of One Call 
1,And i have text messaging back 
1,is going to my favorite cuzzos house YEE LET'S GET IT CRACK&quot;N! 
1,No sleep 26 hours. Two huge lawns to mow. And homework. Lots. But that chick was a cool kid  hit me up tonight if i make it past six...
0,new Wilco b-side Unlikely Japan (recorded in 2003) makes me miss the old days. they were so much more interesting pre-06. 
0,Uh Oh... the dark clouds are moving overheard... que- the rain 
0,No cell phone use at work ! 
0,RIP IZ the Wiz 
0,@urbanbaby what?!   Praying for you &amp; your family.
0,-dies- I had the best dream ever last night and my dad just woke me up. 
0,@beachheat04  i hope you're better now!
1,@Gtorinno yoi yoi uncle gave  http://myloc.me/1nJK
0,I left my headphones at home  I'm abt to run and go get them lmao
1,thunder and lighting... my kinda weather.  posted up in tha NO. with my babe.
0,@karliehustle why do I miss all the good groove candies 
0,has nothing interesting to say. 
1,@natasha ooh..... do share some! 
0,"I spent 12+ hrs yesterday working on my new website, exhausted, didn't even get to read the Sunday papers "
1,Anna was getting ready to do a Tandem Skydive with her brother Albert!  http://short.to/dm2a
0,@cookio  are you going to remove me ?  
0,wanting to go the court with my daughters but there not up for it... 
1,Gonna go play pool off warm springs and eastern who wants to join? 
0,"Piper is fine, and we're relieved.  My throat, nose and ears are unhappy, though -- this is one rotten cold!  "
1,@mileycyrus congrats on your award! 
1,@brynnfoley And you? 
0, Find it yet?
1,God bless my tweeps.  get it.. twitter peeps.. tweeps.. yep.
1,Dad's southern white trash accent is par for this course. 
0,http://twitpic.com/87ne6 - Goodbye six teeth 
1,I'm going to do shopping with my mummy and daddy 
0,@Veloute Oh noes to nightmares   ((((hugs))))
1,off to sleep now.  ciaoness.
1,@drewryanscott you are truly an amazing guy! your blog made me cryy &amp; your songs are just so meaningfull  ! thanks for all that you do &lt;3
0,"@peachdoll Reminds me of when I first installed WoW.  Problems.   My computer exploded.  Well, more like sparked, but still scary!"
1,"I am tired, last night only I slept 3 hours. Good night twitters! That they are pretty sleepy "
1,ugh heading to work and the driver is so rude. I'm proceeding to talk like chyna 
1,@susiewarner I know but hard to do everything all the time ... I'll be at IJL so will have to come find you 
1,? @imeem @katehavnevik has a fab new single out &quot;Show Me Love&quot; hear it now @ www.myspace.com/katehavnevik  http://tr.im/kkIS
1,It's 1.30pm and I have just woken up. Ah the fun of staying for #LeMans 
1,@ryanseacrest I say pocket square. I think it looks better 
1,took full advantage of vip free drink bracelets last night.can't wait for JUSLISEN tonight! groovin to old styles hiphop/rnb.bringgg ittt 
1,"@JillAlexandra old school, new school... Doesn't matter as long as your true school. "
0,Hating my computer at the moment 
0,"@delonm i'm on the US store, I just need a payment option is all. Demos and free apps only go so far "
1,Got the quad bike going. Fun time. Yipee. 
0,http://twitpic.com/2yh5g - Today is the day. Gotta sell the scooter 
1,@scottgal I think one either loves Seth Macfarlane or think he's the devil.  I'm in the former camp. 
1,"Oh, sorry fashion friends...you are too fabulous not to be mentioned in a #ff  @DavidReinke @InsideDVF @Karl_Lagerfeld"
1,@55SecretStreet yay!!    i heart you.  Everyone's loving this Naked Honey collection...
0,My twitterberry is bummy! 
0,Disappointed over the scrapping of the Space Shuttle launch 
0, why'd it have to endddd...
1,"@Clarissa326 no, it makes it Friday evening "
1,@CaMabigail wow...ummm...that's a little creepy...LOL...but I'm sure it's like the best coffee ever! 
0,"Eep. Day off today, well needed.Don't know what to do.. might go for a drive. I miss rachel hart "
0,"@imsiouxz those puppy millers will keep trainers in biz for a long time  best of luck, patience &amp; cheese with your boy"
1,@HeatherSolos someday! you guys can make it out... 
1,@BillyCashin relax !! yur so mean bou tat hole beyonce ting !!hah  its fun tough nd true !! (nd she didnt even sing live)  xx
0,@Billy3G all the things you hate I love 
0,"@happylovesChuck Sadly, yes  It's ending now"
0,"@Steffisticated If they recorded it and sent it to people, they obviously meant for it to get out there.  But if they didn't, I feel bad. "
1,@_ophelia awwwww very cute in his pjs 
0,MUET mockshow &amp; then homework 
1,Hiking yesterday.  Found this rub.  Deer abound.  I love where I live. http://yfrog.com/0aii3dj
0,I'm bummed b/c my iPhone case is ripped on the corner! It looks crappy now 
0,ready 4 skool urgh dinnny wanna go  BOOHOO on the bight side MCFLY IN 4DAYS YEEEE HAAAAA !
1,@dongwayne always pass  so don't lieeeeeeeeeeeeeeeeeeeeeeee!
0,"wish i was going to blue syndrome, fox avenue and i fight crime in dorans tonight. fuckkk you over 18's gigs. "
0,in 20 minutes ill be seventeen. lovely.    i wanna be sixteen foreverrrr&lt;/3 
1,Kings of Leon - Revelry...awesome song  ? http://blip.fm/~5h8zu
0,"@Ldizzle66 i'm gonna miss you  have a safe trip back, love!"
